政策标题,文号,发布日期,政策类型,发布部门,实施日期,政策级别,适用范围,数据来源,年份,更新时间
医院管理管理办法,药监发〔2024〕046号,2024-07-28,医院管理,国家卫健委,2024-08-01,国家级,全国,政策文件库,2024,2025-06-12 22:43:39
关于加强医师管理管理的意见,国卫发〔2024〕067号,2024-01-21,医师管理,国家卫健委,2024-02-01,市级,特定机构,政策文件库,2024,2025-06-12 22:43:39
医师管理管理办法,医政发〔2024〕025号,2024-04-03,医师管理,国家药监局,2024-05-01,市级,特定机构,政策文件库,2024,2025-06-12 22:43:39
关于加强医师管理管理的意见,卫健发〔2024〕198号,2024-08-15,医师管理,国家药监局,2024-09-01,国家级,试点地区,政策文件库,2024,2025-06-12 22:43:39
医师管理管理办法,药监发〔2024〕038号,2024-02-02,医师管理,国家卫健委,2024-03-01,国家级,试点地区,政策文件库,2024,2025-06-12 22:43:39
医师管理管理办法,药监发〔2024〕147号,2024-01-13,医师管理,国家医保局,2024-02-01,市级,特定机构,政策文件库,2024,2025-06-12 22:43:39
医师管理监督管理办法,国卫发〔2024〕156号,2024-05-04,医师管理,国家医保局,2024-06-01,省级,特定机构,政策文件库,2024,2025-06-12 22:43:39
医师管理管理办法,卫健发〔2024〕090号,2024-11-17,医师管理,国家医保局,2024-12-01,市级,试点地区,政策文件库,2024,2025-06-12 22:43:39
关于推进医师管理发展的指导意见,药监发〔2024〕136号,2024-09-08,医师管理,国家药监局,2024-10-01,市级,全国,政策文件库,2024,2025-06-12 22:43:39
关于规范护理管理的规定,药监发〔2024〕017号,2024-09-03,护理管理,国家医保局,2024-10-01,国家级,试点地区,政策文件库,2024,2025-06-12 22:43:39
关于护理管理工作的通知,国卫发〔2024〕009号,2024-11-06,护理管理,国家医保局,2024-12-01,省级,特定机构,政策文件库,2024,2025-06-12 22:43:39
关于加强护理管理管理的意见,卫健发〔2024〕165号,2024-03-14,护理管理,各省卫健委,2024-04-01,省级,特定机构,政策文件库,2024,2025-06-12 22:43:39
护理管理监督管理办法,国卫发〔2024〕065号,2024-10-25,护理管理,国家药监局,2024-11-01,市级,全国,政策文件库,2024,2025-06-12 22:43:39
关于加强护理管理管理的意见,国卫发〔2024〕009号,2024-01-20,护理管理,国家药监局,2024-02-01,省级,特定机构,政策文件库,2024,2025-06-12 22:43:39
关于护理管理工作的通知,卫健发〔2024〕077号,2024-12-12,护理管理,国家医保局,2024-01-01,国家级,特定机构,政策文件库,2024,2025-06-12 22:43:39
关于护理管理工作的通知,卫健发〔2024〕038号,2024-05-24,护理管理,国家药监局,2024-06-01,国家级,试点地区,政策文件库,2024,2025-06-12 22:43:39
关于规范中医药的规定,药监发〔2024〕051号,2024-09-22,中医药,国家药监局,2024-10-01,省级,试点地区,政策文件库,2024,2025-06-12 22:43:39
中医药管理办法,药监发〔2024〕039号,2024-07-02,中医药,国家卫健委,2024-08-01,市级,特定机构,政策文件库,2024,2025-06-12 22:43:39
关于加强中医药管理的意见,卫健发〔2024〕191号,2024-07-25,中医药,国家医保局,2024-08-01,市级,全国,政策文件库,2024,2025-06-12 22:43:39
关于推进中医药发展的指导意见,药监发〔2024〕068号,2024-11-09,中医药,各省卫健委,2024-12-01,市级,特定机构,政策文件库,2024,2025-06-12 22:43:39
中医药管理办法,医政发〔2024〕157号,2024-01-08,中医药,国家卫健委,2024-02-01,国家级,全国,政策文件库,2024,2025-06-12 22:43:39
中医药实施方案,国卫发〔2024〕069号,2024-08-13,中医药,国家药监局,2024-09-01,国家级,特定机构,政策文件库,2024,2025-06-12 22:43:39
中医药管理办法,药监发〔2024〕130号,2024-01-17,中医药,各省卫健委,2024-02-01,省级,特定机构,政策文件库,2024,2025-06-12 22:43:39
关于中医药工作的通知,药监发〔2024〕065号,2024-08-06,中医药,国家药监局,2024-09-01,省级,试点地区,政策文件库,2024,2025-06-12 22:43:39
中医药监督管理办法,药监发〔2024〕107号,2024-12-20,中医药,国家卫健委,2024-01-01,省级,特定机构,政策文件库,2024,2025-06-12 22:43:39
疾病防控监督管理办法,卫健发〔2024〕108号,2024-12-07,疾病防控,国家卫健委,2024-01-01,市级,试点地区,政策文件库,2024,2025-06-12 22:43:39
关于疾病防控工作的通知,国卫发〔2024〕117号,2024-10-15,疾病防控,国家卫健委,2024-11-01,省级,特定机构,政策文件库,2024,2025-06-12 22:43:39
关于推进疾病防控发展的指导意见,卫健发〔2024〕113号,2024-01-10,疾病防控,国家医保局,2024-02-01,国家级,全国,政策文件库,2024,2025-06-12 22:43:39
疾病防控管理办法,卫健发〔2024〕021号,2024-03-12,疾病防控,国家医保局,2024-04-01,省级,试点地区,政策文件库,2024,2025-06-12 22:43:39
关于加强疾病防控管理的意见,医政发〔2024〕165号,2024-02-26,疾病防控,国家医保局,2024-03-01,市级,试点地区,政策文件库,2024,2025-06-12 22:43:39
疾病防控监督管理办法,国卫发〔2024〕120号,2024-12-10,疾病防控,国家药监局,2024-01-01,省级,特定机构,政策文件库,2024,2025-06-12 22:43:39
关于加强疾病防控管理的意见,药监发〔2024〕052号,2024-09-24,疾病防控,各省卫健委,2024-10-01,市级,全国,政策文件库,2024,2025-06-12 22:43:39
健康促进监督管理办法,卫健发〔2024〕105号,2024-04-07,健康促进,国家卫健委,2024-05-01,市级,特定机构,政策文件库,2024,2025-06-12 22:43:39
关于规范健康促进的规定,医政发〔2024〕144号,2024-07-16,健康促进,各省卫健委,2024-08-01,省级,全国,政策文件库,2024,2025-06-12 22:43:39
关于推进健康促进发展的指导意见,国卫发〔2024〕137号,2024-04-23,健康促进,国家医保局,2024-05-01,国家级,试点地区,政策文件库,2024,2025-06-12 22:43:39
关于健康促进工作的通知,卫健发〔2024〕182号,2024-05-13,健康促进,国家医保局,2024-06-01,国家级,试点地区,政策文件库,2024,2025-06-12 22:43:39
关于规范健康促进的规定,卫健发〔2024〕049号,2024-07-25,健康促进,国家医保局,2024-08-01,省级,特定机构,政策文件库,2024,2025-06-12 22:43:39
关于健康促进工作的通知,医政发〔2024〕195号,2024-08-06,健康促进,国家卫健委,2024-09-01,市级,试点地区,政策文件库,2024,2025-06-12 22:43:39
健康促进管理办法,国卫发〔2024〕077号,2024-09-18,健康促进,各省卫健委,2024-10-01,省级,全国,政策文件库,2024,2025-06-12 22:43:39
关于规范健康促进的规定,卫健发〔2024〕190号,2024-08-02,健康促进,国家医保局,2024-09-01,省级,特定机构,政策文件库,2024,2025-06-12 22:43:39
关于规范健康促进的规定,卫健发〔2024〕036号,2024-12-01,健康促进,各省卫健委,2024-01-01,省级,特定机构,政策文件库,2024,2025-06-12 22:43:39
健康促进实施方案,医政发〔2024〕076号,2024-05-08,健康促进,各省卫健委,2024-06-01,国家级,全国,政策文件库,2024,2025-06-12 22:43:39
